t,roll,pitch
1.014151,0.002756,0.007362
1.016211,0.002738,0.008502
1.018054,0.002739,0.009582
1.020025,0.002750,0.010595
1.022224,0.002809,0.011801
1.024200,0.002876,0.012997
1.026211,0.002935,0.014113
1.028298,0.003032,0.015276
1.030190,0.003061,0.016273
1.032205,0.003087,0.017239
1.034197,0.003099,0.018355
1.036215,0.003010,0.019369
1.038205,0.002895,0.020383
1.040212,0.002842,0.021510
1.042200,0.002897,0.022577
1.044122,0.002979,0.023637
1.046232,0.002994,0.024855
1.048198,0.003020,0.025868
1.050275,0.002904,0.026944
1.052190,0.002863,0.028074
1.054203,0.002787,0.029087
1.056213,0.002852,0.030057
1.058198,0.002771,0.031159
1.060202,0.002838,0.032148
1.062200,0.002739,0.033136
1.064032,0.002776,0.034180
1.066236,0.002767,0.035323
1.068205,0.002778,0.036376
1.070210,0.002680,0.037378
1.072207,0.002670,0.038387
1.074328,0.002643,0.039461
1.076192,0.002586,0.040333
1.078217,0.002592,0.041391
1.080224,0.002631,0.042320
1.082204,0.002575,0.043333
1.084222,0.002453,0.044175
1.086208,0.002366,0.045130
1.088212,0.002434,0.046140
1.090203,0.002345,0.046965
1.092207,0.002422,0.047941
1.094267,0.002395,0.048819
1.096299,0.002387,0.049763
1.098209,0.002396,0.050648
1.100214,0.002366,0.051404
1.102212,0.002239,0.052213
1.104213,0.002208,0.053002
1.106215,0.002209,0.053927
1.108205,0.002280,0.054736
1.110195,0.002225,0.055530
1.112205,0.002262,0.056314
1.114208,0.002155,0.057131
1.116228,0.002158,0.058036
1.118143,0.002165,0.058775
1.120208,0.002107,0.059524
1.122208,0.002082,0.060256
1.124216,0.002080,0.061037
1.126217,0.002174,0.061719
1.128205,0.002174,0.062520
1.130204,0.002290,0.063243
1.132200,0.002364,0.064024
1.134212,0.002346,0.064717
1.136225,0.002273,0.065397
1.138251,0.002285,0.066086
1.140223,0.002234,0.066745
1.142194,0.002247,0.067424
1.144156,0.002227,0.068093
1.146217,0.002314,0.068799
1.148193,0.002391,0.069453
1.150204,0.002299,0.070180
1.152210,0.002282,0.070918
1.154163,0.002339,0.071518
1.156222,0.002297,0.072084
1.158198,0.002298,0.072699
1.160197,0.002238,0.073289
1.162110,0.002166,0.073905
1.164057,0.002137,0.074435
1.166075,0.002043,0.075142
1.168220,0.002135,0.075631
1.170271,0.002175,0.076169
1.172188,0.002143,0.076608
1.174206,0.002096,0.077131
1.176197,0.002167,0.077681
1.178211,0.002198,0.078085
1.180254,0.002169,0.078551
1.182191,0.002104,0.078959
1.184181,0.002126,0.079345
1.186217,0.002155,0.079823
1.188232,0.002163,0.080359
1.190194,0.002180,0.080802
1.192201,0.002214,0.081268
1.194202,0.002196,0.081673
1.196201,0.002169,0.081993
1.198044,0.002121,0.082395
1.200225,0.002073,0.082658
1.202205,0.001983,0.083009
1.204196,0.001994,0.083194
1.206217,0.002041,0.083545
1.208192,0.002002,0.083902
1.210203,0.001992,0.084234
1.212211,0.001936,0.084462
1.214212,0.001889,0.084629
1.216212,0.001942,0.084955
1.218204,0.002003,0.085215
1.220204,0.002003,0.085370
1.222199,0.001887,0.085544
1.224221,0.002055,0.085831
1.226215,0.002017,0.085997
1.228209,0.002018,0.086185
1.230218,0.001995,0.086286
1.232201,0.001991,0.086283
1.234046,0.001979,0.086416
1.236226,0.001919,0.086537
1.238196,0.001899,0.086543
1.240205,0.001844,0.086524
1.242197,0.001796,0.086494
1.244113,0.001757,0.086536
1.246079,0.001705,0.086612
1.248217,0.001736,0.086672
1.250208,0.001716,0.086705
1.252207,0.001666,0.086716
1.254211,0.001545,0.086665
1.256218,0.001446,0.086645
1.258228,0.001389,0.086588
1.260214,0.001394,0.086576
1.262200,0.001362,0.086436
1.264206,0.001320,0.086268
1.266211,0.001287,0.086022
1.268196,0.001316,0.085885
1.270215,0.001274,0.085759
1.272201,0.001378,0.085650
1.274218,0.001409,0.085523
1.276213,0.001263,0.085337
1.278211,0.001194,0.085192
1.280206,0.001201,0.084962
1.282198,0.001181,0.084753
1.284247,0.001170,0.084575
1.286210,0.001122,0.084256
1.288209,0.001124,0.084097
1.290200,0.001082,0.083806
1.292197,0.000933,0.083569
1.294145,0.000955,0.083267
1.296210,0.000940,0.082971
1.298085,0.000923,0.082671
1.300283,0.000896,0.082250
1.302105,0.000910,0.082031
1.304070,0.000961,0.081631
1.306232,0.000913,0.081263
1.308194,0.000896,0.080802
1.310142,0.000805,0.080416
1.312039,0.000897,0.080063
1.314077,0.000882,0.079613
1.316217,0.000886,0.079107
1.318216,0.000971,0.078649
1.320199,0.001048,0.078130
1.322201,0.001069,0.077648
1.324205,0.001109,0.077185
1.326210,0.001183,0.076698
1.328214,0.001223,0.076092
1.330200,0.001072,0.075568
1.332209,0.001101,0.075063
1.334168,0.001007,0.074619
1.336221,0.000979,0.074103
1.338227,0.001101,0.073513
1.340197,0.001222,0.072948
1.342216,0.001200,0.072371
1.344197,0.001163,0.071795
1.346045,0.001046,0.071230
1.348057,0.001102,0.070507
1.350205,0.001145,0.069859
1.352203,0.001076,0.069130
1.354213,0.001086,0.068384
1.356207,0.001030,0.067683
1.358201,0.000991,0.067026
1.360200,0.000990,0.066298
1.362215,0.000945,0.065584
1.364197,0.000825,0.064837
1.366208,0.000808,0.064239
1.368201,0.000826,0.063521
1.370308,0.000816,0.062755
1.373694,0.000669,0.061479
1.374000,0.000592,0.061505
1.376240,0.000600,0.060691
1.378200,0.000627,0.059962
1.380209,0.000611,0.059212
1.382187,0.000593,0.058456
1.384226,0.000558,0.057506
1.386211,0.000567,0.056724
1.388212,0.000460,0.055887
1.390210,0.000446,0.055094
1.392198,0.000616,0.054245
1.394229,0.000692,0.053310
1.396201,0.000680,0.052405
1.398276,0.000628,0.051553
1.400207,0.000634,0.050787
1.402214,0.000568,0.049807
1.404195,0.000699,0.048859
1.406237,0.000668,0.047922
1.408206,0.000642,0.047029
1.410200,0.000623,0.046017
1.412196,0.000657,0.045071
1.414243,0.000785,0.043988
1.416203,0.000757,0.043027
1.418258,0.000781,0.041967
1.421001,0.000716,0.040584
1.422087,0.000750,0.040016
1.424221,0.000811,0.038974
1.426204,0.000842,0.038011
1.428203,0.000915,0.037005
1.430204,0.000895,0.035944
1.432201,0.000903,0.034915
1.434044,0.000938,0.034041
1.436299,0.001043,0.032900
1.438176,0.001002,0.032025
1.440207,0.000961,0.030971
1.442256,0.001052,0.030089
1.444148,0.001096,0.028973
1.446221,0.001011,0.027807
1.448194,0.000967,0.026808
1.450204,0.000934,0.025851
1.452196,0.000897,0.024842
1.454091,0.000879,0.023772
1.456215,0.000956,0.022639
1.458203,0.000877,0.021680
1.460144,0.000907,0.020615
1.462210,0.000924,0.019483
1.464215,0.000899,0.018360
1.466241,0.000997,0.017310
1.468194,0.000997,0.016228
1.470219,0.000980,0.015168
1.472096,0.000978,0.014193
1.474242,0.000939,0.013125
1.476212,0.000847,0.012024
1.478211,0.000880,0.010978
1.480209,0.000837,0.009973
1.482197,0.000858,0.008918
1.484209,0.000915,0.007837
1.486144,0.000855,0.006733
1.488207,0.000930,0.005701
1.490454,0.000963,0.004441
1.492169,0.001000,0.003573
1.494057,0.001041,0.002481
1.496224,0.001095,0.001311
1.498219,0.001017,0.000209
1.500196,0.001038,-0.000826
1.502210,0.001059,-0.001946
1.504201,0.000959,-0.003166
1.506132,0.000827,-0.004113
1.508211,0.000778,-0.005336
1.510214,0.000740,-0.006468
1.512192,0.000682,-0.007601
1.514220,0.000650,-0.008585
1.516286,0.000655,-0.009778
1.518215,0.000695,-0.010903
1.520207,0.000641,-0.011919
1.522205,0.000690,-0.013001
1.524223,0.000753,-0.014040
1.526230,0.000789,-0.015077
1.528200,0.000804,-0.016252
1.530207,0.000793,-0.017388
1.532195,0.000675,-0.018355
1.534123,0.000520,-0.019378
1.536213,0.000500,-0.020504
1.538227,0.000608,-0.021606
1.540192,0.000622,-0.022647
1.542204,0.000647,-0.023768
1.544165,0.000636,-0.024838
1.546232,0.000567,-0.025870
1.548207,0.000593,-0.026870
1.550205,0.000603,-0.027856
1.552203,0.000465,-0.028822
1.554222,0.000559,-0.029946
1.556200,0.000582,-0.030935
1.558248,0.000661,-0.032028
1.560194,0.000736,-0.032901
1.562202,0.000717,-0.033863
1.564219,0.000733,-0.034985
1.566197,0.000630,-0.035948
1.568202,0.000611,-0.036890
1.570201,0.000689,-0.037904
1.572198,0.000643,-0.038834
1.574037,0.000629,-0.039741
1.576225,0.000532,-0.040801
1.578205,0.000516,-0.041715
1.580207,0.000451,-0.042655
1.582199,0.000358,-0.043653
1.584208,0.000321,-0.044657
1.586203,0.000306,-0.045591
1.588204,0.000313,-0.046540
1.590212,0.000310,-0.047439
1.592203,0.000347,-0.048469
1.594209,0.000304,-0.049436
1.596212,0.000289,-0.050316
1.598031,0.000298,-0.051209
1.600368,0.000278,-0.052259
1.602178,0.000278,-0.053009
1.604209,0.000353,-0.053768
1.606209,0.000356,-0.054647
1.608201,0.000537,-0.055382
1.610221,0.000533,-0.056187
1.612201,0.000593,-0.056942
1.614052,0.000623,-0.057600
1.616222,0.000675,-0.058400
1.618202,0.000659,-0.059049
1.620209,0.000779,-0.059920
1.622205,0.000801,-0.060686
1.624267,0.000883,-0.061475
1.626654,0.000757,-0.062268
1.628268,0.000680,-0.062943
1.630129,0.000611,-0.063666
1.632214,0.000644,-0.064473
1.634209,0.000525,-0.065201
1.636035,0.000641,-0.065913
1.638030,0.000611,-0.066730
1.640238,0.000672,-0.067566
1.642236,0.000597,-0.068321
1.644205,0.000618,-0.068968
1.646235,0.000692,-0.069599
1.648210,0.000650,-0.070284
1.650247,0.000627,-0.070881
1.652195,0.000594,-0.071541
1.654215,0.000506,-0.072109
1.656209,0.000556,-0.072689
1.658234,0.000418,-0.073289
1.660207,0.000481,-0.073881
1.662204,0.000443,-0.074449
1.664217,0.000433,-0.074982
1.666258,0.000509,-0.075605
1.668199,0.000511,-0.076054
1.670217,0.000615,-0.076596
1.672207,0.000661,-0.077094
1.674215,0.000625,-0.077536
1.676224,0.000674,-0.077918
1.678214,0.000669,-0.078506
1.680201,0.000580,-0.079072
1.682208,0.000568,-0.079540
1.684213,0.000520,-0.080068
1.686204,0.000450,-0.080550
1.688203,0.000402,-0.080923
1.690206,0.000452,-0.081303
1.692203,0.000406,-0.081793
1.694295,0.000320,-0.082174
1.696194,0.000368,-0.082604
1.698203,0.000411,-0.082997
1.700198,0.000387,-0.083295
1.702062,0.000323,-0.083610
1.704227,0.000339,-0.083914
1.706211,0.000351,-0.084277
1.708239,0.000349,-0.084561
1.710204,0.000316,-0.084862
1.712202,0.000294,-0.085095
1.714288,0.000250,-0.085419
1.716208,0.000228,-0.085656
1.718181,0.000206,-0.085868
1.720202,0.000163,-0.086162
1.722199,0.000264,-0.086428
1.724198,0.000244,-0.086574
1.726209,0.000329,-0.086757
1.728196,0.000267,-0.086927
1.730211,0.000273,-0.086972
1.732203,0.000396,-0.087081
1.734201,0.000459,-0.087239
1.736215,0.000451,-0.087382
1.738201,0.000455,-0.087524
1.740201,0.000408,-0.087645
1.742204,0.000398,-0.087620
1.744211,0.000426,-0.087741
1.746213,0.000379,-0.087729
1.748375,0.000383,-0.087765
1.750763,0.000361,-0.087678
1.752130,0.000346,-0.087669
1.754215,0.000420,-0.087641
1.756197,0.000403,-0.087625
1.758059,0.000459,-0.087561
1.760214,0.000451,-0.087581
1.762234,0.000508,-0.087503
1.764194,0.000503,-0.087492
1.766266,0.000421,-0.087452
1.768200,0.000557,-0.087349
1.770200,0.000529,-0.087206
1.772205,0.000417,-0.087055
1.774216,0.000518,-0.086958
1.776276,0.000537,-0.086690
1.778198,0.000530,-0.086450
1.780211,0.000469,-0.086336
1.782201,0.000610,-0.086104
1.784067,0.000582,-0.085904
1.786233,0.000640,-0.085685
1.788199,0.000679,-0.085380
1.790201,0.000715,-0.085176
1.792205,0.000721,-0.084832
1.794216,0.000632,-0.084557
1.796205,0.000730,-0.084204
1.798546,0.000715,-0.083706
1.800061,0.000642,-0.083500
1.802219,0.000560,-0.083151
1.804224,0.000554,-0.082785
1.806217,0.000447,-0.082353
1.808205,0.000419,-0.082000
1.810242,0.000445,-0.081643
